   9809     AichiSR  BL5S1
 20171006-000-S  17.10.06 11:31 - 17.10.06 11:32
                                                                                 
 Ring :   1.2 GeV   300.1 mA -  300.7 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 12.64048 deg
 BL5S1    Aux input    ( 2)   Repetition=  1     Points= 4447
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        8684.36  10084.36        0.31       0.00      4448
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  9420.800  9551.100  7214.300
  12.82144  12.82205    0.0034  28782879  74144849     -1614
  12.82103  12.82164    0.0034  28731879  73980349      -548
  12.82061  12.82121    0.0034  28679079  73893349     -1081
  12.82019  12.82077    0.0034  28649279  73789649      -814
  12.81978  12.82033    0.0034  28628679  73793949      -548
  12.81936  12.81990    0.0034  28641279  73822949     -1614
  12.81894  12.81949    0.0034  28699079  73976349      -281
  12.81853  12.81910    0.0034  28741779  74109649     -1614
  12.81811  12.81870    0.0034  28815379  74297149      -281
  12.81769  12.81831    0.0034  28874879  74468549     -1081
  12.81728  12.81791    0.0034  28940979  74664049      -548
  12.81686  12.81750    0.0034  29016479  74825949     -1081
  12.81644  12.81708    0.0034  29061279  74967549      -813
  12.81603  12.81665    0.0034  29079679  75012349      -548
  12.81561  12.81621    0.0034  29107379  75080549     -1348
  12.81519  12.81578    0.0034  29114079  75129949      -814
  12.81478  12.81536    0.0034  29119679  75146949     -1081
  12.81436  12.81495    0.0034  29112979  75146449      -548
  12.81394  12.81454    0.0034  29101779  75128549     -1614
  12.81353  12.81412    0.0034  29096979  75122449      -548
  12.81311  12.81371    0.0034  29113479  75158449     -1348
  12.81269  12.81330    0.0034  29105779  75143749      -548
  12.81228  12.81289    0.0034  29097279  75125649     -1081
  12.81186  12.81248    0.0034  29082079  75125649     -1348
  12.81144  12.81206    0.0034  29092979  75112849      -548
  12.81103  12.81164    0.0034  29092179  75136549     -1348
  12.81061  12.81121    0.0034  29076979  75124349      -548
  12.81019  12.81077    0.0034  29062279  75090949     -1614
  12.80978  12.81034    0.0034  29076779  75133449      -546
  12.80936  12.80991    0.0034  29064979  75111249     -1614
  12.80894  12.80949    0.0034  29070579  75124549      -548
  12.80853  12.80910    0.0034  29059079  75084549     -1348
  12.80811  12.80870    0.0034  29045479  75056049     -1081
  12.80769  12.80831    0.0034  29060179  75101349     -1081
  12.80728  12.80791    0.0034  29058279  75130449     -1348
  12.80686  12.80750    0.0034  29034279  75090449      -814
  12.80644  12.80707    0.0034  29036479  75084849     -1614
  12.80603  12.80664    0.0034  29039379  75093649      -548
  12.80561  12.80621    0.0034  29037779  75129349     -1614
  12.80519  12.80578    0.0034  29038079  75123749     -1081
  12.80478  12.80536    0.0034  29034079  75102449     -1348
  12.80436  12.80494    0.0034  29024479  75075549      -814
  12.80394  12.80453    0.0034  29023879  75097649     -1081
  12.80353  12.80412    0.0034  29032479  75112549     -1348
  12.80311  12.80371    0.0034  29034279  75126749     -1079
  12.80269  12.80330    0.0034  29005779  75079749     -1081
  12.80228  12.80289    0.0034  29009279  75107249      -814
  12.80186  12.80248    0.0034  29006279  75102949     -1348
  12.80144  12.80207    0.0034  29007879  75129149      -814
  12.80103  12.80165    0.0034  29011879  75104849     -1348
  12.80061  12.80121    0.0034  28991879  75114449      -814
  12.80019  12.80078    0.0034  29000679  75086949     -1081
  12.79978  12.80035    0.0034  29004479  75110749     -1081
  12.79936  12.79992    0.0034  28995079  75120849     -1081
  12.79894  12.79950    0.0034  28986579  75108549     -1348
  12.79853  12.79911    0.0034  28979379  75111549      -548
  12.79811  12.79871    0.0034  28996179  75130749     -1614
  12.79769  12.79832    0.0034  28986879  75119749      -548
  12.79728  12.79792    0.0034  28991079  75135749     -1614
  12.79686  12.79751    0.0034  28982579  75114449      -281
  12.79644  12.79709    0.0034  28983679  75123549     -1346
  12.79603  12.79665    0.0034  28984179  75138749      -814
  12.79561  12.79622    0.0034  28978079  75142749      -814
  12.79519  12.79578    0.0034  28958579  75126449     -1081
  12.79478  12.79537    0.0034  28972979  75118949      -814
  12.79436  12.79495    0.0034  28975879  75120349     -1348
  12.79394  12.79454    0.0034  28962079  75124849      -548
  12.79353  12.79413    0.0034  28964179  75154949     -1348
  12.79311  12.79372    0.0034  28957479  75142449      -548
  12.79269  12.79331    0.0034  28956479  75099249     -1614
  12.79228  12.79289    0.0034  28962879  75113149      -548
  12.79186  12.79249    0.0034  28932979  75084849      -814
  12.79144  12.79207    0.0034  28938879  75087549      -814
  12.79103  12.79166    0.0034  28930579  75086449      -814
  12.79061  12.79123    0.0034  28911079  75051549     -1081
  12.79019  12.79079    0.0034  28902579  75032049      -548
  12.78978  12.79035    0.0034  28903879  75038749     -1348
  12.78936  12.78993    0.0034  28888979  75023549      -279
  12.78894  12.78951    0.0034  28866879  74959749     -1614
  12.78853  12.78911    0.0034  28847379  74913649      -281
  12.78811  12.78872    0.0034  28804979  74815549     -1348
  12.78769  12.78833    0.0034  28744179  74654149      -548
  12.78728  12.78793    0.0034  28671079  74464349     -1081
  12.78686  12.78751    0.0034  28558079  74185949     -1081
  12.78644  12.78709    0.0034  28478879  73985949      -281
  12.78603  12.78666    0.0034  28436179  73890449     -1348
  12.78561  12.78622    0.0034  28426079  73883549       -14
  12.78519  12.78579    0.0034  28418279  73875549     -1614
  12.78478  12.78537    0.0034  28427379  73895749       -14
  12.78436  12.78495    0.0034  28439879  73920549     -1348
  12.78394  12.78454    0.0034  28486579  74063249      -281
  12.78353  12.78412    0.0034  28546579  74220049     -1081
  12.78311  12.78371    0.0034  28630079  74472849      -814
  12.78269  12.78330    0.0034  28719079  74685349      -546
  12.78228  12.78288    0.0034  28801779  74896549     -1348
  12.78186  12.78247    0.0034  28857479  75067249      -548
  12.78144  12.78206    0.0034  28898279  75178949     -1348
  12.78103  12.78164    0.0034  28907079  75211749      -281
  12.78061  12.78121    0.0034  28893479  75205649     -1614
  12.78019  12.78077    0.0034  28919379  75246749      -814
  12.77978  12.78033    0.0034  28922879  75262149     -1348
  12.77936  12.77990    0.0034  28914079  75233649     -1081
  12.77894  12.77949    0.0034  28912479  75236349     -1081
  12.77853  12.77909    0.0034  28896979  75208349     -1081
  12.77811  12.77870    0.0034  28909479  75233649      -814
  12.77769  12.77831    0.0034  28907879  75259549     -1614
  12.77728  12.77790    0.0034  28907679  75224849      -548
  12.77686  12.77749    0.0034  28874279  75204349     -2148
  12.77644  12.77706    0.0034  28885479  75232349      -548
  12.77603  12.77663    0.0034  28908679  75270749     -1880
  12.77561  12.77619    0.0034  28889779  75243549     -1081
  12.77519  12.77576    0.0034  28880479  75227249     -1348
  12.77478  12.77534    0.0034  28888979  75226949     -1348
  12.77436  12.77493    0.0034  28884979  75255749     -1348
  12.77394  12.77451    0.0034  28897779  75263249     -1881
  12.77353  12.77410    0.0034  28884179  75263249      -814
  12.77311  12.77369    0.0034  28877479  75222749     -1881
  12.77269  12.77328    0.0034  28891879  75249349     -1081
  12.77228  12.77286    0.0034  28890279  75277349     -1881
  12.77186  12.77245    0.0034  28880979  75277349      -814
  12.77144  12.77204    0.0034  28868679  75247749     -1614
  12.77103  12.77162    0.0034  28872179  75219749      -814
  12.77061  12.77119    0.0034  28874079  75265149     -1348
  12.77019  12.77075    0.0034  28871679  75237149     -1348
  12.76978  12.77032    0.0034  28864679  75250949      -548
  12.76936  12.76989    0.0034  28858279  75225749     -1346
  12.76894  12.76948    0.0034  28863679  75246449      -548
  12.76853  12.76908    0.0034  28870579  75270449     -1614
  12.76811  12.76869    0.0034  28865279  75266949      -281
  12.76769  12.76829    0.0034  28867379  75252349     -1348
  12.76728  12.76790    0.0034  28852679  75256849      -548
  12.76686  12.76748    0.0034  28852979  75264049     -1081
  12.76644  12.76705    0.0034  28868179  75298149     -1081
  12.76603  12.76662    0.0034  28844479  75258949      -548
  12.76561  12.76618    0.0034  28847879  75274949     -1081
  12.76519  12.76576    0.0034  28844679  75254149      -281
  12.76478  12.76533    0.0034  28853779  75304349     -1348
  12.76436  12.76492    0.0034  28856479  75292849       -14
  12.76394  12.76451    0.0034  28856179  75301349     -1348
  12.76353  12.76410    0.0034  28842079  75274949       -14
  12.76311  12.76369    0.0034  28857779  75302749     -1081
  12.76269  12.76328    0.0034  28869479  75338249      -546
  12.76228  12.76287    0.0034  28856679  75324349      -548
  12.76186  12.76246    0.0034  28858579  75303749      -814
  12.76144  12.76205    0.0034  28845279  75322749      -281
  12.76103  12.76163    0.0034  28854079  75338949     -1081
  12.76061  12.76120    0.0034  28861779  75338149      -281
  12.76019  12.76076    0.0034  28848179  75333949     -1081
  12.75978  12.76033    0.0034  28856179  75342749      -281
  12.75936  12.75990    0.0034  28849779  75354449     -1081
  12.75894  12.75949    0.0034  28866079  75374449      -281
  12.75853  12.75909    0.0034  28856679  75357949     -1081
  12.75811  12.75870    0.0034  28858879  75389349      -814
  12.75769  12.75831    0.0034  28851379  75381649      -814
  12.75728  12.75790    0.0034  28862879  75378149     -1081
  12.75686  12.75749    0.0034  28857779  75380349      -548
  12.75644  12.75706    0.0034  28862279  75348349     -1348
  12.75603  12.75663    0.0034  28856179  75394249      -279
  12.75561  12.75620    0.0034  28860179  75379549     -1614
  12.75519  12.75576    0.0034  28860179  75377149      -548
  12.75478  12.75534    0.0034  28859079  75396849     -1348
  12.75436  12.75493    0.0034  28848179  75396349     -1081
  12.75394  12.75452    0.0034  28856179  75382449     -1081
  12.75353  12.75411    0.0034  28850079  75411749     -1348
  12.75311  12.75370    0.0034  28853279  75386149      -814
  12.75269  12.75328    0.0034  28854279  75386149     -1614
  12.75228  12.75288    0.0034  28861279  75418449      -814
  12.75186  12.75246    0.0034  28851879  75374449     -1881
  12.75144  12.75205    0.0034  28848479  75381949      -548
  12.75103  12.75163    0.0034  28862079  75405949     -1881
  12.75061  12.75120    0.0034  28861279  75394749     -1081
  12.75019  12.75077    0.0034  28861779  75388549     -1348
  12.74978  12.75033    0.0034  28854079  75397949     -1348
  12.74936  12.74991    0.0034  28853179  75413249     -1079
  12.74894  12.74949    0.0034  28851379  75380849     -1614
  12.74853  12.74909    0.0034  28863879  75384349      -814
  12.74811  12.74870    0.0034  28852179  75378449     -2148
  12.74769  12.74831    0.0034  28850279  75367549      -814
  12.74728  12.74791    0.0034  28840979  75355249     -1881
  12.74686  12.74750    0.0034  28840979  75376849      -814
  12.74644  12.74707    0.0034  28848479  75380549     -1881
  12.74603  12.74664    0.0034  28848679  75376849     -1081
  12.74561  12.74621    0.0034  28847879  75356349     -1348
  12.74519  12.74578    0.0034  28839879  75343749     -1614
  12.74478  12.74535    0.0034  28853779  75381949     -1081
  12.74436  12.74494    0.0034  28844479  75363249     -1614
  12.74394  12.74453    0.0034  28842079  75341949      -548
  12.74353  12.74412    0.0034  28848479  75341949     -1881
  12.74311  12.74371    0.0034  28838879  75336049      -548
  12.74269  12.74329    0.0034  28848679  75348949     -1613
  12.74228  12.74289    0.0034  28833779  75312349      -814
  12.74186  12.74248    0.0034  28817479  75280349     -1348
  12.74144  12.74206    0.0034  28828979  75259549     -1348
  12.74103  12.74164    0.0034  28833479  75278449      -814
  12.74061  12.74121    0.0034  28835079  75265149     -1348
  12.74019  12.74078    0.0034  28807879  75232849      -548
  12.73978  12.74034    0.0034  28811879  75203249     -1614
  12.73936  12.73991    0.0034  28822579  75220349      -548
  12.73894  12.73950    0.0034  28818079  75216549     -1348
  12.73853  12.73910    0.0034  28813279  75201149      -548
  12.73811  12.73871    0.0034  28802579  75164349     -1081
  12.73769  12.73832    0.0034  28798279  75130149      -281
  12.73728  12.73792    0.0034  28801279  75172549     -1348
  12.73686  12.73750    0.0034  28807379  75143249      -814
  12.73644  12.73708    0.0034  28801479  75123549      -814
  12.73603  12.73665    0.0034  28801279  75065149     -1348
  12.73561  12.73621    0.0034  28809779  75095849      -546
  12.73519  12.73578    0.0034  28799379  75051249     -1348
  12.73478  12.73536    0.0034  28800979  75064349      -548
  12.73436  12.73495    0.0034  28795079  75058449     -1348
  12.73394  12.73454    0.0034  28794579  75002949      -548
  12.73353  12.73412    0.0034  28789279  74986149     -1081
  12.73311  12.73371    0.0034  28804479  74961149      -814
  12.73269  12.73330    0.0034  28794879  74922449      -548
  12.73228  12.73289    0.0034  28774079  74905649     -1081
  12.73186  12.73248    0.0034  28782079  74870949      -281
  12.73144  12.73206    0.0034  28794879  74836049     -1348
  12.73103  12.73165    0.0034  28789279  74800349      -281
  12.73061  12.73122    0.0034  28785279  74779249     -1348
  12.73019  12.73078    0.0034  28784179  74741349      -548
  12.72978  12.73034    0.0034  28774879  74698149     -1081
  12.72936  12.72991    0.0034  28795379  74670949      -814
  12.72894  12.72950    0.0034  28798479  74628249      -813
  12.72853  12.72910    0.0034  28772179  74554449     -1348
  12.72811  12.72871    0.0034  28771879  74510949      -548
  12.72769  12.72831    0.0034  28764679  74468549     -1614
  12.72728  12.72791    0.0034  28768479  74394149      -281
  12.72686  12.72750    0.0034  28755679  74326449     -1614
  12.72644  12.72707    0.0034  28759079  74268349      -548
  12.72603  12.72664    0.0034  28762579  74197149     -1614
  12.72561  12.72620    0.0034  28767079  74149149      -814
  12.72519  12.72577    0.0034  28763679  74054749     -1348
  12.72478  12.72535    0.0034  28767379  73954949     -1081
  12.72436  12.72493    0.0034  28762079  73887549     -1081
  12.72394  12.72452    0.0034  28765279  73774449     -1614
  12.72353  12.72411    0.0034  28768979  73647749      -548
  12.72311  12.72369    0.0034  28766079  73520349     -1881
  12.72269  12.72328    0.0034  28763379  73363549      -814
  12.72228  12.72287    0.0034  28771279  73236149     -1613
  12.72186  12.72246    0.0034  28763679  73038449      -814
  12.72144  12.72205    0.0034  28760679  72812049     -1348
  12.72103  12.72163    0.0034  28745479  72583749     -1081
  12.72061  12.72120    0.0034  28744979  72328049     -1348
  12.72019  12.72077    0.0034  28749479  71995549     -1081
  12.71978  12.72033    0.0034  28739379  71624049      -814
  12.71936  12.71990    0.0034  28731079  71160849     -1881
  12.71894  12.71949    0.0034  28742579  70656849      -281
  12.71853  12.71909    0.0034  28740979  69974449     -1881
  12.71811  12.71870    0.0034  28726279  69070949      -814
  12.71769  12.71831    0.0034  28718579  67912349     -1348
  12.71728  12.71791    0.0034  28729479  66469949     -1081
  12.71686  12.71749    0.0034  28733279  64525149     -1081
  12.71644  12.71707    0.0034  28721779  62049949     -1348
  12.71603  12.71663    0.0034  28718879  58961649      -814
  12.71561  12.71620    0.0034  28726479  55506049     -1346
  12.71519  12.71577    0.0034  28723079  51835749      -548
  12.71478  12.71535    0.0034  28723679  48283749     -1614
  12.71436  12.71494    0.0034  28725279  45072049      -281
  12.71394  12.71452    0.0034  28704479  42439549     -1614
  12.71353  12.71411    0.0034  28714879  40461949      -548
  12.71311  12.71370    0.0034  28703879  39107249     -1081
  12.71269  12.71329    0.0034  28690079  38238949     -1348
  12.71228  12.71288    0.0034  28687679  37793349      -548
  12.71186  12.71247    0.0034  28681479  37639249     -1081
  12.71144  12.71205    0.0034  28671379  37718149      -281
  12.71103  12.71163    0.0034  28671879  37951549     -1348
  12.71061  12.71120    0.0034  28663679  38237149      -281
  12.71019  12.71077    0.0034  28645479  38514149     -1081
  12.70978  12.71033    0.0034  28666079  38718149      -281
  12.70936  12.70990    0.0034  28648479  38765349     -1348
  12.70894  12.70949    0.0034  28652079  38660449      -546
  12.70853  12.70909    0.0034  28627679  38333949      -814
  12.70811  12.70870    0.0034  28626079  37885649      -814
  12.70769  12.70831    0.0034  28629479  37350949      -281
  12.70728  12.70791    0.0034  28630879  36713349     -1081
  12.70686  12.70750    0.0034  28616479  36094749      -281
  12.70644  12.70707    0.0034  28618879  35480049     -1348
  12.70603  12.70664    0.0034  28608979  34912049      -281
  12.70561  12.70620    0.0034  28619879  34360849     -1081
  12.70519  12.70577    0.0034  28610279  33812349       -14
  12.70478  12.70535    0.0034  28600979  33256849      -814
  12.70436  12.70494    0.0034  28601779  32661149      -814
  12.70394  12.70452    0.0034  28582279  32028349      -281
  12.70353  12.70411    0.0034  28562079  31345349      -814
  12.70311  12.70370    0.0034  28524179  30592349       -14
  12.70269  12.70329    0.0034  28480979  29768349     -1081
  12.70228  12.70288    0.0034  28430479  28932349       -12
  12.70186  12.70246    0.0034  28362879  28007549     -1081
  12.70144  12.70205    0.0034  28323079  27092549       252
  12.70103  12.70163    0.0034  28278279  26162949     -1081
  12.70061  12.70119    0.0034  28228179  25217149      -281
  12.70019  12.70076    0.0034  28199079  24272049      -548
  12.69978  12.70033    0.0034  28190079  23352349      -814
  12.69936  12.69990    0.0034  28186079  22462149      -281
  12.69894  12.69948    0.0034  28196679  21638749     -1081
  12.69853  12.69908    0.0034  28241479  20865149       252
  12.69811  12.69869    0.0034  28275879  20129649     -1348
  12.69769  12.69829    0.0034  28322879  19470149       -14
  12.69728  12.69789    0.0034  28371379  18884049     -1081
  12.69686  12.69748    0.0034  28423079  18354949      -281
  12.69644  12.69705    0.0034  28467879  17882449      -814
  12.69603  12.69662    0.0034  28506279  17493349      -548
  12.69561  12.69618    0.0034  28561979  17187349      -546
  12.69519  12.69575    0.0034  28578079  16944049      -814
  12.69478  12.69533    0.0034  28603879  16820049       -14
  12.69436  12.69491    0.0034  28606279  16739749     -1081
  12.69394  12.69450    0.0034  28631379  16754449       -14
  12.69353  12.69409    0.0034  28623379  16831249     -1081
  12.69311  12.69368    0.0034  28618579  16968049       252
  12.69269  12.69326    0.0034  28623079  17154949     -1081
  12.69228  12.69285    0.0034  28628979  17371249       -14
  12.69186  12.69244    0.0034  28620179  17603249      -548
  12.69144  12.69203    0.0034  28630079  17856549      -814
  12.69103  12.69161    0.0034  28617279  18117149       -14
  12.69061  12.69117    0.0034  28617279  18370949     -1081
  12.69019  12.69074    0.0034  28607079  18601349       -14
  12.68978  12.69031    0.0034  28604979  18822449     -1614
  12.68936  12.68987    0.0034  28608179  19019549       519
  12.68894  12.68946    0.0034  28603679  19187749     -1081
  12.68853  12.68906    0.0034  28601379  19332949      -279
  12.68811  12.68867    0.0034  28594279  19414149      -814
  12.68769  12.68828    0.0034  28594279  19468049      -281
  12.68728  12.68787    0.0034  28601779  19470749      -548
  12.68686  12.68746    0.0034  28577279  19405149      -814
  12.68644  12.68704    0.0034  28569779  19288549       252
  12.68603  12.68660    0.0034  28565779  19130949     -1081
  12.68561  12.68616    0.0034  28583879  18940049       252
  12.68519  12.68573    0.0034  28576679  18685949      -814
  12.68478  12.68532    0.0034  28567879  18394449       252
  12.68436  12.68490    0.0034  28559079  18072549      -814
  12.68394  12.68449    0.0034  28558279  17757949      -548
  12.68353  12.68407    0.0034  28563879  17447749      -281
  12.68311  12.68366    0.0034  28568679  17154149      -281
  12.68269  12.68325    0.0034  28544979  16870149       252
  12.68228  12.68284    0.0034  28544179  16645349      -814
  12.68186  12.68243    0.0034  28561179  16487149       521
  12.68144  12.68202    0.0034  28562079  16388349      -814
  12.68103  12.68160    0.0034  28551679  16350949       252
  12.68061  12.68117    0.0034  28546079  16364549      -548
  12.68019  12.68073    0.0034  28542279  16451249       252
  12.67978  12.68030    0.0034  28540179  16589949      -548
  12.67936  12.67987    0.0034  28546079  16773649       -14
  12.67894  12.67946    0.0034  28552979  16972549      -281
  12.67853  12.67907    0.0034  28538279  17198149      -548
  12.67811  12.67867    0.0034  28536979  17443549       -14
  12.67769  12.67828    0.0034  28536179  17694749      -814
  12.67728  12.67788    0.0034  28528179  17925949       252
  12.67686  12.67747    0.0034  28515079  18151749      -814
  12.67644  12.67704    0.0034  28530079  18357949       -14
  12.67603  12.67661    0.0034  28527379  18542949      -814
  12.67561  12.67617    0.0034  28530279  18726949       -14
  12.67519  12.67574    0.0034  28519779  18897049      -546
  12.67478  12.67532    0.0034  28527079  19050749      -814
  12.67436  12.67491    0.0034  28514879  19206449       -14
  12.67394  12.67450    0.0034  28511879  19371549      -814
  12.67353  12.67409    0.0034  28510579  19527549       252
  12.67311  12.67367    0.0034  28512979  19685349     -1081
  12.67269  12.67326    0.0034  28504679  19838449       252
  12.67228  12.67285    0.0034  28514879  20004049      -814
  12.67186  12.67243    0.0034  28516179  20160349      -281
  12.67144  12.67202    0.0034  28504479  20284549      -548
  12.67103  12.67160    0.0034  28497779  20401349      -548
  12.67061  12.67117    0.0034  28509479  20502449      -281
  12.67019  12.67073    0.0034  28501779  20590449     -1081
  12.66978  12.67030    0.0034  28500679  20650149       252
  12.66936  12.66987    0.0034  28488979  20676549     -1081
  12.66894  12.66946    0.0034  28500679  20705649       -14
  12.66853  12.66906    0.0034  28505079  20697049     -1346
  12.66811  12.66867    0.0034  28504679  20692549       -14
  12.66769  12.66827    0.0034  28496979  20660549     -1348
  12.66728  12.66787    0.0034  28480179  20633949      -281
  12.66686  12.66746    0.0034  28480679  20604049      -548
  12.66644  12.66703    0.0034  28491079  20551549      -814
  12.66603  12.66660    0.0034  28486579  20501349      -281
  12.66561  12.66616    0.0034  28488679  20444049     -1081
  12.66519  12.66573    0.0034  28472179  20389949       -14
  12.66478  12.66531    0.0034  28474579  20309149     -1348
  12.66436  12.66490    0.0034  28461779  20245149       -14
  12.66394  12.66448    0.0034  28479379  20160849      -814
  12.66353  12.66407    0.0034  28468679  20065649      -281
  12.66311  12.66366    0.0034  28469479  19970949      -814
  12.66269  12.66325    0.0034  28466079  19863749      -548
  12.66228  12.66284    0.0034  28474279  19760049      -281
  12.66186  12.66243    0.0034  28473079  19643149     -1079
  12.66144  12.66202    0.0034  28463079  19527249       -14
  12.66103  12.66159    0.0034  28448679  19375549     -1081
  12.66061  12.66116    0.0034  28458079  19241649       252
  12.66019  12.66073    0.0034  28442079  19094749     -1081
  12.65978  12.66029    0.0034  28436679  18963249       252
  12.65936  12.65987    0.0034  28421279  18797349     -1081
  12.65894  12.65945    0.0034  28399079  18644349      -281
  12.65853  12.65906    0.0034  28335379  18478449      -281
  12.65811  12.65866    0.0034  28291379  18314149      -814
  12.65769  12.65827    0.0034  28213479  18127749       -14
  12.65728  12.65787    0.0034  28128979  17959549     -1081
  12.65686  12.65746    0.0034  28072179  17794449       -14
  12.65644  12.65703    0.0034  28059379  17665149     -1081
  12.65603  12.65660    0.0034  28033479  17531549       -14
  12.65561  12.65616    0.0034  28029279  17416049      -814
  12.65519  12.65573    0.0034  28033279  17300949      -279
  12.65478  12.65531    0.0034  28022079  17188349      -814
  12.65436  12.65490    0.0034  28039679  17092349      -548
  12.65394  12.65449    0.0034  28073479  17006449      -548
  12.65353  12.65407    0.0034  28096479  16918149     -1081
  12.65311  12.65366    0.0034  28172679  16848849       -14
  12.65269  12.65325    0.0034  28223879  16782749     -1081
  12.65228  12.65284    0.0034  28304979  16735549       -14
  12.65186  12.65243    0.0034  28361779  16681949     -1081
  12.65144  12.65201    0.0034  28388479  16616349       -14
  12.65103  12.65159    0.0034  28426879  16548349      -548
  12.65061  12.65116    0.0034  28443679  16509949      -548
  12.65019  12.65073    0.0034  28463679  16468849      -548
  12.64978  12.65029    0.0034  28466279  16432349      -548
  12.64936  12.64987    0.0034  28447879  16392549       -14
  12.64894  12.64946    0.0034  28450879  16389149      -814
  12.64853  12.64906    0.0034  28465079  16407649       254
  12.64811  12.64866    0.0034  28451079  16426449     -1081
  12.64769  12.64827    0.0034  28444179  16446449       252
  12.64728  12.64787    0.0034  28445479  16497949      -814
  12.64686  12.64746    0.0034  28443379  16565949      -281
  12.64644  12.64703    0.0034  28454879  16652849      -814
  12.64603  12.64659    0.0034  28444179  16735749      -548
  12.64561  12.64616    0.0034  28439379  16837649       -14
  12.64519  12.64573    0.0034  28426579  16937349      -814
  12.64478  12.64531    0.0034  28432679  17056049       252
  12.64436  12.64489    0.0034  28434079  17186749     -1081
  12.64394  12.64448    0.0034  28422279  17294949       252
  12.64353  12.64407    0.0034  28397779  17418449     -1081
  12.64311  12.64365    0.0034  28407879  17548549      -281
  12.64269  12.64324    0.0034  28399679  17681349      -548
  12.64228  12.64283    0.0034  28391079  17803249      -548
  12.64186  12.64242    0.0034  28374179  17930949      -279
  12.64144  12.64201    0.0034  28352479  18062449      -814
  12.64103  12.64158    0.0034  28366079  18198149       -14
  12.64061  12.64115    0.0034  28350879  18330749     -1081
  12.64019  12.64072    0.0034  28342579  18444549       252
  12.63978  12.64028    0.0034  28313279  18554949     -1081
  12.63936  12.63985    0.0034  28319679  18660049       -14
  12.63894  12.63944    0.0034  28325279  18774449     -1081
  12.63853  12.63905    0.0034  28332979  18857949       -14
  12.63811  12.63865    0.0034  28298879  18951749      -814
  12.63769  12.63826    0.0034  28288479  19024349      -281
  12.63728  12.63786    0.0034  28290579  19091549      -548
  12.63686  12.63745    0.0034  28302879  19169349      -814
  12.63644  12.63702    0.0034  28298279  19220349       252
  12.63603  12.63659    0.0034  28273779  19269149     -1348
  12.63561  12.63615    0.0034  28280679  19328849       519
  12.63519  12.63572    0.0034  28283679  19361949     -1081
  12.63478  12.63530    0.0034  28305379  19410049      -279
  12.63436  12.63489    0.0034  28284479  19431749      -548
  12.63394  12.63448    0.0034  28292679  19454149      -281
  12.63353  12.63407    0.0034  28297279  19465949      -814
  12.63311  12.63366    0.0034  28315379  19494449      -548
  12.63269  12.63324    0.0034  28305779  19491249       -14
  12.63228  12.63283    0.0034  28322279  19482949     -1348
  12.63186  12.63243    0.0034  28318279  19487249       519
  12.63144  12.63201    0.0034  28313479  19486149     -1348
  12.63103  12.63159    0.0034  28332679  19469649       -14
  12.63061  12.63116    0.0034  28328179  19454149      -814
  12.63019  12.63072    0.0034  28325479  19412049      -281
  12.62978  12.63029    0.0034  28334079  19395549      -548
  12.62936  12.62986    0.0034  28348679  19363749      -281
  12.62894  12.62945    0.0034  28356479  19334449      -281
  12.62853  12.62905    0.0034  28350079  19300849      -548
  12.62811  12.62866    0.0034  28369879  19275349       -12
  12.62769  12.62827    0.0034  28374579  19233949     -1081
  12.62728  12.62787    0.0034  28380679  19205649       252
  12.62686  12.62745    0.0034  28384179  19170949     -1081
  12.62644  12.62703    0.0034  28379679  19148549       -14
  12.62603  12.62659    0.0034  28378079  19130149      -814
  12.62561  12.62616    0.0034  28386079  19109149      -281
  12.62519  12.62573    0.0034  28385779  19097349      -548
  12.62478  12.62531    0.0034  28379879  19092349      -548
  12.62436  12.62490    0.0034  28383079  19083549      -281
  12.62394  12.62449    0.0034  28372479  19082449     -1081
  12.62353  12.62407    0.0034  28376179  19094149       252
  12.62311  12.62366    0.0034  28364979  19100849     -1348
  12.62269  12.62325    0.0034  28375379  19110149       -14
  12.62228  12.62284    0.0034  28368679  19128349     -1348
  12.62186  12.62244    0.0034  28367079  19145649      -281
  12.62144  12.62202    0.0034  28367479  19161149      -813
  12.62103  12.62160    0.0034  28358279  19177149      -814
  12.62061  12.62117    0.0034  28356179  19186949      -281
  12.62019  12.62073    0.0034  28349779  19178949     -1348
  12.61978  12.62030    0.0034  28359679  19184349       252
  12.61936  12.61987    0.0034  28368479  19183249     -1614
  12.61894  12.61946    0.0034  28362079  19168849       252
  12.61853  12.61906    0.0034  28358279  19159249     -1081
  12.61811  12.61866    0.0034  28340479  19131249      -281
  12.61769  12.61827    0.0034  28350079  19102449      -814
  12.61728  12.61787    0.0034  28343379  19069149      -548
  12.61686  12.61745    0.0034  28349779  19035749      -548
  12.61644  12.61703    0.0034  28335379  18999249      -814
  12.61603  12.61659    0.0034  28339079  18954949       -14
  12.61561  12.61615    0.0034  28342879  18915549      -814
  12.61519  12.61572    0.0034  28338879  18865349       -14
  12.61478  12.61530    0.0034  28341579  18830149     -1346
  12.61436  12.61489    0.0034  28326579  18779549       252
  12.61394  12.61448    0.0034  28327379  18751249     -1081
  12.61353  12.61407    0.0034  28322079  18723249      -548
