   9809     AichiSR  BL5S1
 20171006-000-S  17.10.06 11:31 - 17.10.06 11:32
                                                                                 
 Ring :   1.2 GeV   300.1 mA -  300.7 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 12.64048 deg
 BL5S1    Aux input    ( 2)   Repetition=  1     Points= 4447
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        8684.36  10084.36        0.31       0.00      4448
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  9420.800  9551.100  7214.300
  13.11603  13.11645    0.0034  29709279  70401949     -1348
  13.11561  13.11601    0.0034  29698879  70388849      -814
  13.11519  13.11559    0.0034  29618579  70219749     -1081
  13.11478  13.11517    0.0034  29604479  70164349     -1348
  13.11436  13.11476    0.0034  29624679  70200849      -814
  13.11394  13.11435    0.0034  29609479  70221149     -1614
  13.11353  13.11394    0.0034  29608979  70214449      -548
  13.11311  13.11353    0.0034  29595079  70183749     -1881
  13.11269  13.11312    0.0034  29572979  70118449      -548
  13.11228  13.11271    0.0034  29554979  70124649     -1613
  13.11186  13.11229    0.0034  29533779  70057349     -1081
  13.11144  13.11188    0.0034  29519879  70057149     -1081
  13.11103  13.11146    0.0034  29501479  70024349     -1348
  13.11061  13.11103    0.0034  29493279  69999249      -814
  13.11019  13.11059    0.0034  29471679  69959749     -1348
  13.10978  13.11016    0.0034  29464179  69963749      -548
  13.10936  13.10973    0.0034  29463379  69943549     -1614
  13.10894  13.10933    0.0034  29450579  69940349      -281
  13.10853  13.10894    0.0034  29431879  69926749     -1081
  13.10811  13.10854    0.0034  29437279  69925949      -281
  13.10769  13.10815    0.0034  29438879  69958149      -814
  13.10728  13.10775    0.0034  29453479  69982449      -548
  13.10686  13.10733    0.0034  29440179  69940849     -1081
  13.10644  13.10690    0.0034  29418279  69934449      -814
  13.10603  13.10647    0.0034  29424479  69968549      -548
  13.10561  13.10604    0.0034  29437079  69975549     -1079
  13.10519  13.10561    0.0034  29414279  69920549      -281
  13.10478  13.10520    0.0034  29389279  69899549     -1348
  13.10436  13.10478    0.0034  29387379  69857949       -14
  13.10394  13.10437    0.0034  29373479  69866449     -1081
  13.10353  13.10396    0.0034  29368479  69862949      -548
  13.10311  13.10355    0.0034  29344179  69824549      -814
  13.10269  13.10314    0.0034  29338279  69777149      -814
  13.10228  13.10273    0.0034  29331879  69770449      -548
  13.10186  13.10232    0.0034  29328979  69786749     -1081
  13.10144  13.10191    0.0034  29317779  69797949      -548
  13.10103  13.10148    0.0034  29319079  69760349     -1614
  13.10061  13.10105    0.0034  29323379  69802149      -281
  13.10019  13.10061    0.0034  29307879  69818449     -1614
  13.09978  13.10018    0.0034  29325779  69827749      -548
  13.09936  13.09976    0.0034  29343079  69865349     -1348
  13.09894  13.09935    0.0034  29334879  69873349      -814
  13.09853  13.09896    0.0034  29344279  69894949     -1346
  13.09811  13.09857    0.0034  29355379  69918149     -1348
  13.09769  13.09818    0.0034  29362879  69948049      -548
  13.09728  13.09778    0.0034  29370079  69978449     -1881
  13.09686  13.09736    0.0034  29380679  70028549      -548
  13.09644  13.09694    0.0034  29388979  70064049     -1614
  13.09603  13.09650    0.0034  29409479  70087749      -548
  13.09561  13.09607    0.0034  29416179  70132049     -1348
  13.09519  13.09564    0.0034  29431879  70172549      -814
  13.09478  13.09522    0.0034  29451379  70236549     -1348
  13.09436  13.09480    0.0034  29469279  70261149     -1081
  13.09394  13.09440    0.0034  29487379  70299249      -548
  13.09353  13.09398    0.0034  29499679  70351749     -1348
  13.09311  13.09357    0.0034  29507379  70392849      -548
  13.09269  13.09316    0.0034  29506579  70427749     -1348
  13.09228  13.09275    0.0034  29533279  70482749      -281
  13.09186  13.09234    0.0034  29564579  70535949     -1346
  13.09144  13.09192    0.0034  29565779  70548549      -281
  13.09103  13.09150    0.0034  29561279  70597349     -1081
  13.09061  13.09106    0.0034  29600979  70631749      -548
  13.09019  13.09062    0.0034  29603379  70666449      -814
  13.08978  13.09019    0.0034  29616479  70714949     -1081
  13.08936  13.08976    0.0034  29617779  70733349       -14
  13.08894  13.08936    0.0034  29610879  70722949     -1348
  13.08853  13.08896    0.0034  29627379  70740349      -281
  13.08811  13.08857    0.0034  29628179  70775749     -1081
  13.08769  13.08817    0.0034  29636979  70792549      -281
  13.08728  13.08777    0.0034  29645479  70815249     -1081
  13.08686  13.08735    0.0034  29624979  70818949      -548
  13.08644  13.08692    0.0034  29635079  70828049     -1081
  13.08603  13.08649    0.0034  29637779  70828049      -814
  13.08561  13.08605    0.0034  29650279  70872849      -548
  13.08519  13.08562    0.0034  29646479  70898649     -1346
  13.08478  13.08521    0.0034  29639879  70900349      -548
  13.08436  13.08479    0.0034  29642279  70907749     -1348
  13.08394  13.08438    0.0034  29667879  70970149      -281
  13.08353  13.08397    0.0034  29674079  70988849     -1614
  13.08311  13.08356    0.0034  29663379  70970449      -548
  13.08269  13.08315    0.0034  29684479  71008549     -1348
  13.08228  13.08274    0.0034  29706279  71070749     -1081
  13.08186  13.08232    0.0034  29716179  71129149     -1348
  13.08144  13.08191    0.0034  29700979  71144849     -1081
  13.08103  13.08149    0.0034  29707879  71135549      -548
  13.08061  13.08105    0.0034  29715079  71162949     -1614
  13.08019  13.08062    0.0034  29742079  71229349      -548
  13.07978  13.08018    0.0034  29763079  71284849     -1348
  13.07936  13.07976    0.0034  29770079  71315249      -548
  13.07894  13.07936    0.0034  29782279  71317949     -1614
  13.07853  13.07896    0.0034  29806579  71384949      -813
  13.07811  13.07857    0.0034  29817279  71444849     -1081
  13.07769  13.07818    0.0034  29835879  71491549      -814
  13.07728  13.07777    0.0034  29848479  71524549      -548
  13.07686  13.07736    0.0034  29859379  71558949     -1348
  13.07644  13.07693    0.0034  29874879  71643549      -548
  13.07603  13.07650    0.0034  29906879  71703749     -1348
  13.07561  13.07606    0.0034  29916679  71737349       -14
  13.07519  13.07563    0.0034  29923679  71758449     -1348
  13.07478  13.07521    0.0034  29939379  71805149      -281
  13.07436  13.07480    0.0034  29978279  71885949     -1081
  13.07394  13.07439    0.0034  29983879  71940049      -814
  13.07353  13.07398    0.0034  29998079  71959249      -814
  13.07311  13.07357    0.0034  30004479  72009349     -1081
  13.07269  13.07316    0.0034  30031679  72063249      -548
  13.07228  13.07275    0.0034  30047679  72142749     -1348
