   9809     AichiSR  BL5S1
 20171006-000-S  17.10.06 11:36 - 17.10.06 11:36
                                                                                 
 Ring :   1.2 GeV   300.7 mA -  300.5 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 12.64017 deg
 BL5S1    Aux input    ( 2)   Repetition=  1     Points= 4447
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        8684.36  10084.36        0.31       0.00      4448
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  9420.800  9551.100  7214.300
  13.11603  13.11644    0.0034  29693279  48648049     -1081
  13.11561  13.11601    0.0034  29675879  48613349     -1348
  13.11519  13.11558    0.0034  29646279  48587249     -1081
  13.11478  13.11516    0.0034  29632679  48570149     -1348
  13.11436  13.11475    0.0034  29613279  48539249      -548
  13.11394  13.11434    0.0034  29581479  48512549     -1348
  13.11353  13.11393    0.0034  29559379  48477649      -548
  13.11311  13.11352    0.0034  29553479  48455749     -1348
  13.11269  13.11311    0.0034  29533279  48449649      -548
  13.11228  13.11270    0.0034  29521079  48443949     -1346
  13.11186  13.11229    0.0034  29496979  48388549      -548
  13.11144  13.11188    0.0034  29483079  48384349     -1348
  13.11103  13.11145    0.0034  29476479  48364549      -814
  13.11061  13.11102    0.0034  29473479  48371749     -1081
  13.11019  13.11058    0.0034  29447379  48349349     -1081
  13.10978  13.11015    0.0034  29436679  48328349      -814
  13.10936  13.10973    0.0034  29431079  48323749     -1348
  13.10894  13.10933    0.0034  29410079  48327549      -281
  13.10853  13.10893    0.0034  29426579  48330749     -1614
  13.10811  13.10854    0.0034  29403879  48310449      -548
  13.10769  13.10815    0.0034  29399679  48316349     -1348
  13.10728  13.10774    0.0034  29402579  48316549     -1081
  13.10686  13.10732    0.0034  29389779  48329949     -1081
  13.10644  13.10690    0.0034  29392179  48314449     -1348
  13.10603  13.10647    0.0034  29370279  48300849      -548
  13.10561  13.10603    0.0034  29379479  48317749     -1346
  13.10519  13.10560    0.0034  29362579  48290449      -814
  13.10478  13.10519    0.0034  29347679  48288549     -1614
  13.10436  13.10478    0.0034  29320679  48251549      -548
  13.10394  13.10437    0.0034  29306579  48226749     -1614
  13.10353  13.10395    0.0034  29296979  48230949      -814
  13.10311  13.10354    0.0034  29301479  48255249     -1614
  13.10269  13.10313    0.0034  29289279  48226749     -1081
  13.10228  13.10273    0.0034  29274079  48193949      -548
  13.10186  13.10231    0.0034  29263879  48205949     -1881
  13.10144  13.10190    0.0034  29268179  48230149     -1081
  13.10103  13.10147    0.0034  29270879  48221349     -1614
  13.10061  13.10104    0.0034  29266079  48221149      -281
  13.10019  13.10061    0.0034  29270879  48218149     -1881
  13.09978  13.10018    0.0034  29268479  48265949      -814
  13.09936  13.09975    0.0034  29280679  48277949     -1614
  13.09894  13.09935    0.0034  29296479  48308649     -1346
  13.09853  13.09896    0.0034  29284679  48312349     -1081
  13.09811  13.09857    0.0034  29298079  48335549     -1614
  13.09769  13.09818    0.0034  29321279  48363749      -814
  13.09728  13.09777    0.0034  29339879  48397649     -1881
  13.09686  13.09735    0.0034  29337279  48402449      -548
  13.09644  13.09693    0.0034  29347879  48419549     -2148
  13.09603  13.09649    0.0034  29355679  48456849      -814
  13.09561  13.09606    0.0034  29374279  48500349     -1881
  13.09519  13.09563    0.0034  29382079  48509949      -814
  13.09478  13.09522    0.0034  29396479  48538949     -1348
  13.09436  13.09480    0.0034  29407879  48547549     -1881
  13.09394  13.09439    0.0034  29420679  48610749      -814
  13.09353  13.09398    0.0034  29441479  48638449     -1881
  13.09311  13.09357    0.0034  29444479  48662149     -1081
  13.09269  13.09316    0.0034  29446079  48668349     -1881
  13.09228  13.09274    0.0034  29477679  48735749      -813
  13.09186  13.09233    0.0034  29484979  48758749     -1881
  13.09144  13.09191    0.0034  29518279  48804049     -1081
  13.09103  13.09149    0.0034  29504979  48802449     -1614
  13.09061  13.09105    0.0034  29527879  48807749     -1348
  13.09019  13.09062    0.0034  29528979  48844349     -1348
  13.08978  13.09018    0.0034  29545779  48889149     -1614
  13.08936  13.08976    0.0034  29555879  48915549      -814
  13.08894  13.08935    0.0034  29548479  48909349     -1881
  13.08853  13.08895    0.0034  29550579  48916349      -814
  13.08811  13.08856    0.0034  29560979  48922749     -1881
  13.08769  13.08817    0.0034  29559879  48965149      -814
  13.08728  13.08776    0.0034  29569779  48954149     -1881
  13.08686  13.08734    0.0034  29565279  48971249      -814
  13.08644  13.08691    0.0034  29565779  48989349     -1614
  13.08603  13.08648    0.0034  29584979  49007749      -814
  13.08561  13.08604    0.0034  29587579  49038949     -1346
  13.08519  13.08562    0.0034  29590279  49032349     -1348
  13.08478  13.08520    0.0034  29579679  49039549      -548
  13.08436  13.08479    0.0034  29583879  49060549     -1881
  13.08394  13.08437    0.0034  29609279  49085949      -281
  13.08353  13.08396    0.0034  29615079  49090449     -1614
  13.08311  13.08355    0.0034  29611379  49112049      -814
  13.08269  13.08314    0.0034  29611379  49146749     -1081
  13.08228  13.08273    0.0034  29626879  49175749     -1081
  13.08186  13.08232    0.0034  29636179  49180349     -1081
  13.08144  13.08190    0.0034  29651679  49214149     -1081
  13.08103  13.08148    0.0034  29658279  49226749     -1081
  13.08061  13.08105    0.0034  29678079  49264049     -1348
  13.08019  13.08061    0.0034  29683079  49277349      -548
  13.07978  13.08018    0.0034  29702879  49338749     -1614
  13.07936  13.07975    0.0034  29721479  49357649      -548
  13.07894  13.07935    0.0034  29748379  49405249     -1613
  13.07853  13.07895    0.0034  29738579  49414949      -814
  13.07811  13.07857    0.0034  29770879  49441649     -1081
  13.07769  13.07817    0.0034  29774579  49486149     -1081
  13.07728  13.07776    0.0034  29786079  49534949      -814
  13.07686  13.07735    0.0034  29807879  49544049     -1081
  13.07644  13.07692    0.0034  29819879  49587549     -1081
  13.07603  13.07649    0.0034  29838879  49614749     -1348
  13.07561  13.07606    0.0034  29867379  49664849      -281
  13.07519  13.07563    0.0034  29883879  49684349     -1614
  13.07478  13.07521    0.0034  29880979  49733949      -814
  13.07436  13.07480    0.0034  29903079  49755749     -1348
  13.07394  13.07439    0.0034  29925279  49811249     -1081
  13.07353  13.07397    0.0034  29951679  49862149     -1081
  13.07311  13.07356    0.0034  29962879  49889149     -1348
  13.07269  13.07315    0.0034  29964179  49906949      -814
  13.07228  13.07274    0.0034  29988179  49943749     -1614
  13.07186  13.07233    0.0034  30023679  49994149      -813
  13.07144  13.07192    0.0034  30033479  50026949     -1614
  13.07103  13.07149    0.0034  30036679  50037949      -548
  13.07061  13.07106    0.0034  30050579  50070749     -1614
  13.07019  13.07063    0.0034  30056679  50100049     -1081
  13.06978  13.07019    0.0034  30065279  50143549     -1614
  13.06936  13.06977    0.0034  30073279  50135749     -1348
  13.06894  13.06936    0.0034  30067379  50137149      -814
  13.06853  13.06897    0.0034  30079879  50141349     -1881
  13.06811  13.06858    0.0034  30081279  50162949      -814
  13.06769  13.06818    0.0034  30096679  50195249     -1614
  13.06728  13.06778    0.0034  30091079  50183549      -814
  13.06686  13.06736    0.0034  30074879  50203249     -1881
  13.06644  13.06693    0.0034  30085279  50216849      -548
  13.06603  13.06650    0.0034  30088679  50220349     -1348
  13.06561  13.06607    0.0034  30084179  50221649     -1348
  13.06519  13.06564    0.0034  30077779  50224349     -1079
  13.06478  13.06522    0.0034  30071679  50235749     -1348
  13.06436  13.06481    0.0034  30084179  50246449     -1081
  13.06394  13.06439    0.0034  30084979  50250449     -1881
  13.06353  13.06398    0.0034  30076679  50238149      -814
  13.06311  13.06357    0.0034  30068679  50236549     -2148
  13.06269  13.06316    0.0034  30072479  50260849      -548
