   9809     AichiSR  BL5S1
 20171006-000-S  17.10.06 11:39 - 17.10.06 11:39
                                                                                 
 Ring :   1.2 GeV   300.2 mA -  300.6 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 12.63989 deg
 BL5S1    Aux input    ( 2)   Repetition=  1     Points= 4447
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        8684.36  10084.36        0.31       0.00      4448
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  9420.800  9551.100  7214.300
  13.11603  13.11643    0.0034  29780179  43151249     -1081
  13.11561  13.11600    0.0034  29746879  43114149     -1081
  13.11519  13.11557    0.0034  29718579  43077649      -814
  13.11478  13.11516    0.0034  29706279  43078949     -1348
  13.11436  13.11475    0.0034  29692179  43054449      -548
  13.11394  13.11434    0.0034  29674079  43038149     -1614
  13.11353  13.11392    0.0034  29634579  43006149      -281
  13.11311  13.11351    0.0034  29622079  42980549     -1348
  13.11269  13.11310    0.0034  29612179  42973149      -814
  13.11228  13.11269    0.0034  29601379  42960349     -1346
  13.11186  13.11228    0.0034  29566079  42932049      -814
  13.11144  13.11187    0.0034  29549479  42920549     -1081
  13.11103  13.11144    0.0034  29540179  42889649     -1348
  13.11061  13.11101    0.0034  29539879  42904049     -1081
  13.11019  13.11058    0.0034  29529779  42893149     -1881
  13.10978  13.11014    0.0034  29508479  42875549      -814
  13.10936  13.10972    0.0034  29488679  42859549     -1614
  13.10894  13.10932    0.0034  29502279  42861649      -548
  13.10853  13.10892    0.0034  29487679  42884349     -1614
  13.10811  13.10853    0.0034  29479079  42853149      -814
  13.10769  13.10814    0.0034  29464679  42862149     -1348
  13.10728  13.10774    0.0034  29470579  42841149     -1081
  13.10686  13.10732    0.0034  29461779  42853649     -1348
  13.10644  13.10689    0.0034  29454279  42855749     -1348
  13.10603  13.10646    0.0034  29442079  42834949     -1081
  13.10561  13.10602    0.0034  29432579  42853049     -1613
  13.10519  13.10559    0.0034  29422879  42840049      -281
  13.10478  13.10518    0.0034  29412679  42837949     -1881
  13.10436  13.10477    0.0034  29403379  42794749      -548
  13.10394  13.10436    0.0034  29392979  42794149     -1614
  13.10353  13.10395    0.0034  29368479  42788049      -548
  13.10311  13.10354    0.0034  29356979  42789649     -1081
  13.10269  13.10313    0.0034  29357479  42776049     -1081
  13.10228  13.10271    0.0034  29353479  42760549      -814
  13.10186  13.10231    0.0034  29340179  42757949     -1081
  13.10144  13.10189    0.0034  29341279  42758149      -548
  13.10103  13.10147    0.0034  29338879  42763249     -1348
  13.10061  13.10104    0.0034  29342579  42777149       -14
  13.10019  13.10060    0.0034  29326079  42774149     -1348
  13.09978  13.10017    0.0034  29335679  42788849      -281
  13.09936  13.09975    0.0034  29346879  42828549      -814
  13.09894  13.09934    0.0034  29366979  42840249      -546
  13.09853  13.09895    0.0034  29362079  42843249      -814
  13.09811  13.09856    0.0034  29359679  42862149     -1081
  13.09769  13.09817    0.0034  29361479  42874949      -281
  13.09728  13.09777    0.0034  29379379  42913949     -1348
  13.09686  13.09734    0.0034  29398579  42926749      -548
  13.09644  13.09692    0.0034  29415679  42962749     -1348
  13.09603  13.09649    0.0034  29405279  42974149      -548
  13.09561  13.09605    0.0034  29417479  42996349     -1348
  13.09519  13.09562    0.0034  29437779  43020349      -814
  13.09478  13.09521    0.0034  29449479  43040349     -1081
  13.09436  13.09479    0.0034  29466879  43062949     -1348
  13.09394  13.09438    0.0034  29471879  43078949     -1081
  13.09353  13.09397    0.0034  29481779  43110149     -1881
  13.09311  13.09356    0.0034  29500479  43152349      -548
  13.09269  13.09315    0.0034  29509279  43164549     -2148
  13.09228  13.09274    0.0034  29532079  43212349      -546
  13.09186  13.09232    0.0034  29539879  43217349     -2414
  13.09144  13.09191    0.0034  29548679  43248849     -1081
  13.09103  13.09148    0.0034  29556979  43273149     -1881
  13.09061  13.09104    0.0034  29577779  43294949     -1348
  13.09019  13.09061    0.0034  29588479  43331249     -1614
  13.08978  13.09017    0.0034  29580679  43350149     -1881
  13.08936  13.08975    0.0034  29597479  43357649     -1348
  13.08894  13.08934    0.0034  29604179  43384549     -1881
  13.08853  13.08894    0.0034  29606879  43389349      -814
  13.08811  13.08855    0.0034  29604979  43390749     -1881
  13.08769  13.08816    0.0034  29616479  43400549      -814
  13.08728  13.08775    0.0034  29606079  43416049     -1614
  13.08686  13.08733    0.0034  29615679  43408849     -1348
  13.08644  13.08690    0.0034  29611679  43434949     -1081
  13.08603  13.08647    0.0034  29613479  43433349     -1348
  13.08561  13.08604    0.0034  29605479  43444049     -1081
  13.08519  13.08561    0.0034  29621679  43467349     -1613
  13.08478  13.08519    0.0034  29626079  43485949      -814
  13.08436  13.08478    0.0034  29616179  43478749     -1881
  13.08394  13.08437    0.0034  29636679  43502149      -281
  13.08353  13.08396    0.0034  29630279  43499549     -1614
  13.08311  13.08354    0.0034  29639079  43527749      -814
  13.08269  13.08313    0.0034  29643379  43552849     -1348
  13.08228  13.08272    0.0034  29647079  43559549     -1081
  13.08186  13.08231    0.0034  29652979  43568049      -814
  13.08144  13.08189    0.0034  29670279  43584349     -1348
  13.08103  13.08147    0.0034  29680679  43619549      -814
  13.08061  13.08104    0.0034  29691879  43650149     -1614
  13.08019  13.08060    0.0034  29691879  43669649      -281
  13.07978  13.08017    0.0034  29705779  43686949     -1614
  13.07936  13.07975    0.0034  29727079  43721349      -548
  13.07894  13.07934    0.0034  29753279  43749349     -1348
  13.07853  13.07894    0.0034  29754279  43774149     -1079
  13.07811  13.07856    0.0034  29759379  43788549     -1081
  13.07769  13.07816    0.0034  29777779  43821349     -1348
  13.07728  13.07776    0.0034  29810579  43867549      -814
  13.07686  13.07734    0.0034  29815679  43893649     -1348
  13.07644  13.07691    0.0034  29823379  43920549      -814
  13.07603  13.07648    0.0034  29835679  43937649     -1614
  13.07561  13.07605    0.0034  29851079  43981949      -548
  13.07519  13.07562    0.0034  29885479  44021349     -1348
  13.07478  13.07520    0.0034  29895679  44049149      -814
  13.07436  13.07479    0.0034  29907679  44065149     -1348
  13.07394  13.07438    0.0034  29915679  44093349      -814
  13.07353  13.07397    0.0034  29939079  44125149     -1081
  13.07311  13.07355    0.0034  29961279  44187749     -1348
  13.07269  13.07314    0.0034  29959879  44208549      -548
  13.07228  13.07274    0.0034  29972979  44218449     -1614
  13.07186  13.07232    0.0034  30006079  44258749      -546
  13.07144  13.07191    0.0034  30015879  44284349     -1614
  13.07103  13.07149    0.0034  30035879  44321149      -281
  13.07061  13.07105    0.0034  30035679  44323549     -1614
  13.07019  13.07062    0.0034  30037279  44336849      -548
  13.06978  13.07018    0.0034  30061479  44360349     -1348
  13.06936  13.06976    0.0034  30058079  44378449     -1348
  13.06894  13.06935    0.0034  30058579  44394749      -548
  13.06853  13.06896    0.0034  30064679  44392049     -1614
  13.06811  13.06857    0.0034  30062579  44420049      -548
  13.06769  13.06818    0.0034  30064479  44421349     -1614
  13.06728  13.06777    0.0034  30057279  44439249      -548
  13.06686  13.06735    0.0034  30057279  44436549     -1348
  13.06644  13.06693    0.0034  30050879  44421949      -548
  13.06603  13.06649    0.0034  30056479  44458149     -1348
  13.06561  13.06605    0.0034  30048679  44435549     -1081
  13.06519  13.06563    0.0034  30069579  44464149      -546
  13.06478  13.06521    0.0034  30055679  44452049     -1081
  13.06436  13.06480    0.0034  30057779  44461649      -548
  13.06394  13.06439    0.0034  30059079  44470749     -1614
  13.06353  13.06397    0.0034  30044179  44473649      -548
  13.06311  13.06356    0.0034  30048179  44474749     -1614
  13.06269  13.06315    0.0034  30041279  44475749      -548
  13.06228  13.06274    0.0034  30042579  44505149     -1348
  13.06186  13.06233    0.0034  30046079  44504549      -814
  13.06144  13.06191    0.0034  30045479  44518449     -1348
  13.06103  13.06148    0.0034  30046279  44513649     -1348
  13.06061  13.06105    0.0034  30042879  44505349      -548
  13.06019  13.06061    0.0034  30043379  44520549     -1881
  13.05978  13.06017    0.0034  30044679  44530149      -548
  13.05936  13.05975    0.0034  30036979  44542949     -1881
  13.05894  13.05934    0.0034  30033479  44538449      -814
  13.05853  13.05894    0.0034  30042279  44569049     -1613
  13.05811  13.05855    0.0034  30031879  44561949      -814
  13.05769  13.05816    0.0034  30048479  44548049     -1348
  13.05728  13.05775    0.0034  30040979  44580349     -1348
  13.05686  13.05733    0.0034  30028179  44571249     -1348
  13.05644  13.05691    0.0034  30016979  44570949     -1614
  13.05603  13.05647    0.0034  30019679  44567749     -1081
  13.05561  13.05603    0.0034  30040179  44604349     -1614
  13.05519  13.05561    0.0034  30033779  44605949      -814
  13.05478  13.05519    0.0034  30028979  44600549     -1614
