# #fitting: e-mu-fit-std: Cu-Cu2O-CuO [R-factor:7.470e-06]
8684.16920559 0.00167583 -0.00000000 -0.00099664 -0.00069736 -0.00190834
8684.42851888 0.00147321 -0.00000000 -0.00090768 -0.00060079 -0.00173528
8684.68136466 0.00005660 -0.00000000 -0.00077610 -0.00045643 -0.00211878
8684.93422557 -0.00139889 -0.00000000 -0.00088078 -0.00088704 -0.00167157
8685.19358580 0.00263991 -0.00000000 -0.00128484 -0.00056750 -0.00119935
8685.45296194 -0.00030058 -0.00000000 -0.00096510 -0.00075730 -0.00172545
8685.72532403 0.00114689 -0.00000000 -0.00091781 -0.00086964 -0.00139369
8686.00418910 -0.00128241 -0.00000000 -0.00112793 -0.00051073 -0.00187458
8686.28307257 0.00176280 -0.00000000 -0.00084237 -0.00087252 -0.00145553
8686.56197444 -0.00010515 -0.00000000 -0.00095511 -0.00080732 -0.00175879
8686.84089471 -0.00148302 -0.00000000 -0.00079867 -0.00052499 -0.00169888
8687.10685909 0.00147831 -0.00000000 -0.00067408 -0.00079658 -0.00164242
8687.37284019 0.00423423 -0.00000000 -0.00091447 -0.00065655 -0.00189832
8687.63883803 -0.00092276 -0.00000000 -0.00083887 -0.00061939 -0.00143061
8687.91134097 0.00034315 -0.00000000 -0.00070494 -0.00049880 -0.00174251
8688.17088391 0.00083533 -0.00000000 -0.00098698 -0.00061459 -0.00147585
8688.43693195 0.00211930 -0.00000000 -0.00074578 -0.00072079 -0.00133418
8688.70299673 0.00015031 -0.00000000 -0.00092117 -0.00058922 -0.00129137
8688.96907826 0.00181918 -0.00000000 -0.00082385 -0.00066595 -0.00140039
8689.24166694 0.00051908 -0.00000000 -0.00071605 -0.00072813 -0.00114675
8689.51427318 -0.00006319 -0.00000000 -0.00074061 -0.00066288 -0.00171967
8689.79338826 0.00127962 -0.00000000 -0.00074522 -0.00067911 -0.00151998
8690.07901346 -0.00067708 -0.00000000 -0.00075128 -0.00062523 -0.00173502
8690.35816581 0.00002563 -0.00000000 -0.00068243 -0.00054244 -0.00146231
8690.62435149 -0.00050015 -0.00000000 -0.00073075 -0.00055630 -0.00182332
8690.89055392 0.00032891 -0.00000000 -0.00080027 -0.00068195 -0.00118330
8691.14378641 0.00080648 -0.00000000 -0.00080598 -0.00051890 -0.00128203
8691.39703407 -0.00008562 -0.00000000 -0.00076593 -0.00060977 -0.00113140
8691.65679100 -0.00316401 -0.00000000 -0.00076306 -0.00050054 -0.00106007
8691.92305842 0.00309639 -0.00000000 -0.00061472 -0.00051185 -0.00145702
8692.19583753 -0.00085825 -0.00000000 -0.00091634 -0.00062316 -0.00141032
8692.46863424 0.00062114 -0.00000000 -0.00058023 -0.00049883 -0.00142791
8692.75444013 -0.00106762 -0.00000000 -0.00099784 -0.00058634 -0.00103006
8693.03376909 0.00021373 -0.00000000 -0.00086526 -0.00044203 -0.00135701
8693.31311649 0.00039647 -0.00000000 -0.00105792 -0.00042340 -0.00096676
8693.58598524 -0.00068526 -0.00000000 -0.00053768 -0.00038779 -0.00132700
8693.85237409 0.00147654 -0.00000000 -0.00072424 -0.00047663 -0.00131082
8694.11877972 0.00006148 -0.00000000 -0.00064000 -0.00059516 -0.00125484
8694.39170043 0.00391343 -0.00000000 -0.00046693 -0.00041134 -0.00146906
8694.65814001 -0.00152315 -0.00000000 -0.00071894 -0.00059434 -0.00145817
8694.92459637 0.00134439 -0.00000000 -0.00097226 -0.00054275 -0.00147955
8695.19106950 0.00049646 -0.00000000 -0.00079146 -0.00048542 -0.00175174
8695.46405937 0.00018543 -0.00000000 -0.00065541 -0.00045464 -0.00138477
8695.73056648 0.00023839 -0.00000000 -0.00049650 -0.00048888 -0.00131548
8696.01009196 0.00052260 -0.00000000 -0.00055358 -0.00071405 -0.00108022
8696.28963589 -0.00073593 -0.00000000 -0.00057385 -0.00062020 -0.00099859
8696.57569997 0.00182416 -0.00000000 -0.00063332 -0.00056611 -0.00051732
8696.85528126 0.00065121 -0.00000000 -0.00051418 -0.00018935 -0.00115386
8697.12837850 0.00093915 -0.00000000 -0.00061413 -0.00044748 -0.00068150
8697.39499041 0.00023956 -0.00000000 -0.00046043 -0.00047169 -0.00111030
8697.64861245 0.00002617 -0.00000000 -0.00068688 -0.00043199 -0.00149653
8697.90875340 -0.00126298 -0.00000000 -0.00057557 -0.00047826 -0.00130635
8698.16240622 -0.00161688 -0.00000000 -0.00025220 -0.00061798 -0.00165536
8698.42908326 0.00028887 -0.00000000 -0.00065320 -0.00052089 -0.00100531
8698.70228204 -0.00103679 -0.00000000 -0.00087677 -0.00048252 -0.00110721
8698.97549845 0.00124223 -0.00000000 -0.00064650 -0.00053140 -0.00097151
8699.26174407 -0.00086098 -0.00000000 -0.00054755 -0.00046885 -0.00084392
8699.54150281 -0.00196447 -0.00000000 -0.00065608 -0.00061769 -0.00138271
8699.81477337 0.00058526 -0.00000000 -0.00052396 -0.00004717 -0.00091659
8700.08806157 -0.00001603 -0.00000000 -0.00043325 -0.00047625 -0.00105680
8700.35485993 -0.00120830 -0.00000000 -0.00043126 -0.00040021 -0.00090049
8700.62167509 0.00125432 -0.00000000 -0.00039418 -0.00029908 -0.00119034
8700.89501536 0.00040673 -0.00000000 -0.00064175 -0.00040396 -0.00089137
8701.16186456 -0.00176046 -0.00000000 -0.00076821 -0.00046992 -0.00096766
8701.42873057 0.00109052 -0.00000000 -0.00049912 -0.00046748 -0.00109482
8701.69561339 0.00319340 -0.00000000 -0.00060629 -0.00042674 -0.00091949
8701.96251303 -0.00372443 -0.00000000 -0.00046538 -0.00038958 -0.00108009
8702.23593986 0.00090283 -0.00000000 -0.00051672 -0.00032844 -0.00085616
8702.50938434 0.00001495 -0.00000000 -0.00042390 -0.00037567 -0.00110482
8702.78935769 0.00101115 -0.00000000 -0.00031779 -0.00043016 -0.00127641
8703.07586121 -0.00217369 -0.00000000 -0.00048328 -0.00030591 -0.00048486
