# Z	Element	K(1s)	L3(2p)	L2(2p)	L1(2s)	M5(3d)	M4(3d)	M3(3p)	M2(3p)	M1(3s)
1	H	13.6								
2	He	24.6								
3	Li	54.7			
4	Be	111.7			
5	B	188.0	
6	C	284.2	
7	N	409.9						
8	O	543.1					
9	F	696.7	
10	Ne	870.2	21.6	21.7	48.5					
11	Na	1070.8	30.4	30.4	63.5					
12	Mg	1303.0	49.5	49.9	88.6					
13	Al	1559.6	72.7	73.1	117.8			
75	Re	71676.4	10535.3	11958.7	12526.7	1882.9	1948.9	2367.3	2681.6	2931.7
76	Os	73870.8	10870.9	12385.0	12968.0	1960.1	2030.8	2457.2	2792.2	3048.5
77	Ir	76111.0	11215.2	12824.1	13418.5	2040.4	2116.1	2550.7	2908.7	3173.7
78	Pt	78394.8	11562.8	13271.9	13880.7	2121.6	2201.9	2645.4	3026.5	3296.0
79	Au	80724.9	11919.7	13734.2	14355.3	2205.7	2291.1	2743.0	3147.8	3424.9
80	Hg	83102.3	12283.9	14208.7	14839.3	2294.9	2384.9	2847.1	3278.5	3561.6
81	Tl	85530.4	12657.5	14697.9	15346.7	2389.3	2485.1	2956.6	3415.7	3704.1
82	Pb	88004.5	13035.1	15199.0	15858.0	2484.0	2585.6	3066.4	3554.2	3850.7
83	Bi	90525.9	13418.6	15711.1	16387.5	2579.6	2687.6	3176.9	3696.3	3999.1
84	Po	93105.0	13813.8	16244.3	16939.3	2683.0	2798.0	3301.9	3854.1	4149.4
85	At	95729.9	14213.5	16784.7	17493.	2786.7	2908.7	3426.	4008.	4317.
86	Rn	98404.0	14619.4	17337.1	18049.	2892.4	3021.5	3538.	4159.	4482.
87	Fr	101137.0	15031.2	17906.5	18639.	2999.9	3136.2	3663.	4327.	4652.
88	Ra	103921.9	15444.4	18484.3	19236.7	3104.9	3248.4	3791.8	4489.5	4822.0
89	Ac	106755.3	15871.0	19083.2	19840.	3219.0	3370.2	3909.	4656.	5002.
90	Th	109650.9	16300.3	19693.2	20472.1	3332.0	3490.8	4046.1	4830.4	5182.3
91	Pa	112601.4	16733.1	20313.7	21104.6	3441.8	3611.2	4173.8	5000.9	5366.9
92	U	115606.1	17166.3	20947.6	21757.4	3551.7	3727.6	4303.4	5182.2	5548.0
