   9809     AichiSR  BL5S1
 220623-gamma-F  22.06.23 14:40 - 22.06.23 14:42
                                                                                 
 Ring :   1.2 GeV     0.0 mA -    0.0 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 16.23048 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 4600
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        6813.26   8213.26        0.30       0.02      4602
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  4431.900  9572.100  8149.900
  16.80303  16.80372    0.0235  15810768   1857928   3595880
  16.80239  16.80312    0.0235  15797268   1856748   3594670
  16.80175  16.80251    0.0235  15809668   1858388   3598320
  16.80111  16.80187    0.0235  15806868   1858918   3599240
  16.80047  16.80121    0.0235  15822068   1861368   3604030
  16.79983  16.80057    0.0235  15817268   1860988   3605240
  16.79919  16.79992    0.0235  15808968   1860498   3604720
  16.79856  16.79928    0.0235  15817868   1862548   3609520
  16.79792  16.79864    0.0235  15816768   1862438   3609880
  16.79728  16.79801    0.0235  15798768   1860758   3607110
  16.79664  16.79738    0.0235  15809968   1862548   3611970
  16.79600  16.79674    0.0235  15798268   1862178   3610340
  16.79536  16.79609    0.0235  15811168   1863778   3615560
  16.79472  16.79543    0.0235  15796368   1862518   3613590
  16.79408  16.79478    0.0235  15806868   1863848   3616250
  16.79344  16.79415    0.0235  15806168   1864968   3618750
  16.79281  16.79353    0.0235  15791568   1863658   3615900
  16.79217  16.79292    0.0235  15799368   1864888   3620030
  16.79153  16.79230    0.0235  15790168   1864008   3618250
  16.79089  16.79165    0.0235  15790468   1864388   3620410
  16.79025  16.79100    0.0235  15790068   1865038   3622720
  16.78961  16.79034    0.0235  15763568   1862968   3618310
  16.78897  16.78969    0.0235  15768568   1863738   3621900
  16.78833  16.78905    0.0235  15752268   1861638   3618670
  16.78769  16.78841    0.0235  15753568   1862548   3620220
  16.78706  16.78777    0.0235  15748768   1862248   3621730
  16.78642  16.78713    0.0235  15738268   1862098   3619230
  16.78578  16.78649    0.0235  15755968   1864848   3626350
  16.78514  16.78583    0.0235  15765268   1865838   3629930
  16.78450  16.78516    0.0235  15786868   1869398   3636540
  16.78386  16.78452    0.0235  15817868   1873298   3645150
  16.78322  16.78389    0.0235  15824868   1874818   3648080
  16.78258  16.78328    0.0235  15846368   1878068   3655780
  16.78194  16.78266    0.0235  15849168   1878528   3658020
  16.78131  16.78203    0.0235  15876868   1882888   3664990
  16.78067  16.78138    0.0235  15888368   1884758   3669940
  16.78003  16.78072    0.0235  15879568   1884028   3670210
  16.77939  16.78007    0.0235  15900268   1886788   3676150
  16.77875  16.77943    0.0235  15910268   1888848   3679840
  16.77811  16.77879    0.0235  15906368   1888428   3679850
  16.77747  16.77815    0.0235  15910368   1889988   3683470
  16.77683  16.77752    0.0235  15911968   1890878   3685510
  16.77619  16.77688    0.0235  15916968   1891638   3687140
  16.77556  16.77623    0.0235  15901968   1890218   3685650
  16.77492  16.77557    0.0235  15909768   1891788   3690170
  16.77428  16.77492    0.0235  15920868   1893818   3695010
  16.77364  16.77428    0.0235  15890268   1890568   3688950
  16.77300  16.77366    0.0235  15903968   1892978   3692680
  16.77236  16.77306    0.0235  15906468   1893898   3697010
  16.77172  16.77244    0.0235  15905268   1893658   3698150
  16.77108  16.77181    0.0235  15901168   1893968   3698990
  16.77044  16.77115    0.0235  15900668   1894278   3700610
  16.76981  16.77050    0.0235  15920668   1897518   3707550
  16.76917  16.76986    0.0235  15898568   1895038   3702710
  16.76853  16.76922    0.0235  15906568   1896298   3705100
  16.76789  16.76858    0.0235  15915968   1898438   3710720
  16.76725  16.76794    0.0235  15897668   1896418   3706220
  16.76661  16.76731    0.0235  15901068   1897558   3709190
  16.76597  16.76668    0.0235  15893068   1896798   3709390
  16.76533  16.76602    0.0235  15886868   1896838   3709420
  16.76469  16.76537    0.0235  15866468   1894548   3706030
  16.76406  16.76471    0.0235  15859068   1894578   3707860
  16.76342  16.76407    0.0235  15863468   1895338   3710000
  16.76278  16.76345    0.0235  15844568   1893398   3705540
  16.76214  16.76284    0.0235  15846168   1894198   3709420
  16.76150  16.76222    0.0235  15856768   1895768   3712300
  16.76086  16.76156    0.0235  15851668   1896108   3712790
  16.76022  16.76091    0.0235  15880068   1899628   3720520
  16.75958  16.76026    0.0235  15898268   1902298   3726310
  16.75894  16.75961    0.0235  15928668   1906808   3734720
  16.75831  16.75897    0.0235  15935368   1907848   3738520
  16.75767  16.75832    0.0235  15943968   1910098   3743320
  16.75703  16.75768    0.0235  15980968   1914458   3753760
  16.75639  16.75704    0.0235  15977468   1914868   3754370
  16.75575  16.75639    0.0235  15981668   1916178   3757320
  16.75511  16.75574    0.0235  16005368   1919188   3763920
  16.75447  16.75507    0.0235  16007668   1920218   3767130
  16.75383  16.75443    0.0235  16019768   1921908   3771040
  16.75319  16.75380    0.0235  16014768   1922058   3772140
  16.75256  16.75319    0.0235  16033068   1924658   3777230
  16.75192  16.75258    0.0235  16032668   1925038   3779090
  16.75128  16.75194    0.0235  16009468   1923018   3775810
