   9809     AichiSR  BL5S1
 Fe-foil         22.09.16 11:14 - 22.09.16 11:16
                                                                                 
 Ring :   1.2 GeV   300.7 mA -  300.9 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 16.23083 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 4600
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        6813.26   8213.26        0.30       0.02      4602
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  4409.500  9250.000  8122.500
  16.80303  16.80377    0.0235  44818691   7523810   3732268
  16.80239  16.80316    0.0235  44860291   7530740   3736708
  16.80175  16.80254    0.0235  44901791   7539820   3743308
  16.80111  16.80191    0.0235  44918891   7543090   3745648
  16.80047  16.80126    0.0235  44955491   7552090   3752678
  16.79983  16.80061    0.0235  45029391   7565210   3760208
  16.79919  16.79996    0.0235  45026691   7566990   3763218
  16.79856  16.79932    0.0235  45064691   7574710   3767008
  16.79792  16.79869    0.0235  45080591   7579160   3768618
  16.79728  16.79805    0.0235  45093891   7584000   3772398
  16.79664  16.79742    0.0235  45092891   7584440   3774698
  16.79600  16.79679    0.0235  45099091   7587400   3777898
  16.79536  16.79613    0.0235  45118991   7592220   3781188
  16.79472  16.79548    0.0235  45106391   7592610   3783108
  16.79408  16.79482    0.0235  45085691   7591720   3782098
  16.79344  16.79419    0.0235  45103091   7595370   3787038
  16.79281  16.79357    0.0235  45067191   7591220   3786348
  16.79217  16.79296    0.0235  45051691   7589400   3786048
  16.79153  16.79234    0.0235  45060391   7593750   3789368
  16.79089  16.79169    0.0235  45045391   7593170   3789208
  16.79025  16.79103    0.0235  45048091   7594830   3791628
  16.78961  16.79038    0.0235  45007091   7589470   3790588
  16.78897  16.78973    0.0235  45031091   7595440   3794988
  16.78833  16.78909    0.0235  45029191   7596610   3795858
  16.78769  16.78845    0.0235  44974191   7589160   3793608
  16.78706  16.78781    0.0235  44984391   7591470   3795298
  16.78642  16.78717    0.0235  44973991   7592680   3798768
  16.78578  16.78652    0.0235  44940591   7587650   3797468
  16.78514  16.78587    0.0235  44897991   7582700   3796018
  16.78450  16.78520    0.0235  44870291   7579120   3794688
  16.78386  16.78455    0.0235  44895991   7585490   3798608
  16.78322  16.78393    0.0235  44797491   7570360   3793798
  16.78258  16.78331    0.0235  44765591   7566630   3791668
  16.78194  16.78270    0.0235  44767191   7569330   3795588
  16.78131  16.78207    0.0235  44772291   7571020   3797168
  16.78067  16.78142    0.0235  44731391   7566340   3796168
  16.78003  16.78077    0.0235  44748391   7572040   3798188
  16.77939  16.78011    0.0235  44839091   7587800   3806568
  16.77875  16.77948    0.0235  44875491   7594590   3812598
  16.77811  16.77884    0.0235  44863891   7594600   3814818
  16.77747  16.77820    0.0235  44950991   7610490   3823608
  16.77683  16.77757    0.0235  44967691   7615870   3826168
  16.77619  16.77693    0.0235  44995791   7622000   3831098
  16.77556  16.77628    0.0235  45013191   7625620   3834688
  16.77492  16.77563    0.0235  45045091   7634040   3839128
  16.77428  16.77497    0.0235  45073591   7640140   3843208
  16.77364  16.77433    0.0235  45060091   7638930   3845168
  16.77300  16.77371    0.0235  45094691   7646950   3850898
  16.77236  16.77311    0.0235  45129191   7654170   3855058
  16.77172  16.77249    0.0235  45113491   7652880   3855098
  16.77108  16.77186    0.0235  45131291   7657570   3859608
  16.77044  16.77120    0.0235  45129991   7658920   3861368
  16.76981  16.77055    0.0235  45142091   7663190   3864078
  16.76917  16.76991    0.0235  45106491   7658650   3862018
  16.76853  16.76927    0.0235  45107991   7660780   3866028
  16.76789  16.76863    0.0235  45148091   7669150   3871458
  16.76725  16.76800    0.0235  45108491   7664580   3870048
  16.76661  16.76736    0.0235  45066491   7658490   3868398
  16.76597  16.76673    0.0235  45118691   7668700   3873748
  16.76533  16.76607    0.0235  45098291   7667350   3874248
  16.76469  16.76541    0.0235  45071791   7664330   3873558
  16.76406  16.76476    0.0235  45039891   7660100   3873178
  16.76342  16.76412    0.0235  45091891   7671100   3879518
  16.76278  16.76350    0.0235  45022191   7660030   3874478
  16.76214  16.76289    0.0235  44984191   7654630   3874248
  16.76150  16.76227    0.0235  45010591   7661430   3879518
  16.76086  16.76161    0.0235  44979091   7656930   3877648
  16.76022  16.76096    0.0235  44900391   7645490   3872558
  16.75958  16.76031    0.0235  44850091   7639510   3870278
  16.75894  16.75965    0.0235  44844091   7639030   3872448
  16.75831  16.75901    0.0235  44829691   7638130   3871838
  16.75767  16.75837    0.0235  44761791   7629590   3868698
  16.75703  16.75773    0.0235  44761791   7630360   3869998
  16.75639  16.75709    0.0235  44749191   7631170   3872838
  16.75575  16.75644    0.0235  44754891   7631890   3873628
  16.75511  16.75578    0.0235  44814491   7643860   3883038
  16.75447  16.75512    0.0235  44872791   7656880   3889878
  16.75383  16.75448    0.0235  44893091   7660300   3892858
  16.75319  16.75385    0.0235  44913091   7666090   3896718
  16.75256  16.75324    0.0235  44950191   7674310   3902828
  16.75192  16.75263    0.0235  45022491   7687240   3909448
  16.75128  16.75199    0.0235  44993791   7683980   3910018
  16.75064  16.75134    0.0235  44975291   7682650   3909598
  16.75000  16.75069    0.0235  44986491   7685850   3912498
  16.74936  16.75004    0.0235  44946091   7681420   3911658
  16.74872  16.74940    0.0235  44883791   7672370   3907268
  16.74808  16.74876    0.0235  44791591   7658220   3901568
  16.74744  16.74812    0.0235  44709491   7646230   3897028
  16.74681  16.74749    0.0235  44603891   7629670   3889068
  16.74617  16.74685    0.0235  44469991   7609030   3880398
  16.74553  16.74620    0.0235  44382391   7594330   3875318
  16.74489  16.74554    0.0235  44242691   7572570   3864688
  16.74425  16.74489    0.0235  44129491   7554860   3855638
  16.74361  16.74425    0.0235  44049791   7543760   3852648
  16.74297  16.74363    0.0235  43976091   7532460   3847118
  16.74233  16.74303    0.0235  43935591   7526560   3847188
  16.74169  16.74241    0.0235  43910591   7524230   3847228
  16.74106  16.74177    0.0235  43932991   7529410   3849828
  16.74042  16.74112    0.0235  43965191   7536040   3853528
  16.73978  16.74047    0.0235  43961391   7536480   3855368
  16.73914  16.73983    0.0235  44047591   7553120   3866448
  16.73850  16.73919    0.0235  44070591   7559940   3869928
  16.73786  16.73855    0.0235  44124091   7570170   3877108
  16.73722  16.73791    0.0235  44145491   7576170   3880968
  16.73658  16.73728    0.0235  44195991   7586920   3888728
  16.73594  16.73664    0.0235  44266891   7600780   3897478
  16.73531  16.73598    0.0235  44293291   7606370   3900928
  16.73467  16.73531    0.0235  44386591   7624360   3912158
  16.73403  16.73466    0.0235  44477191   7641170   3920718
  16.73339  16.73402    0.0235  44486591   7645810   3925118
  16.73275  16.73341    0.0235  44563391   7660510   3931188
  16.73211  16.73280    0.0235  44631391   7673630   3939718
  16.73147  16.73217    0.0235  44704491   7687680   3948998
  16.73083  16.73152    0.0235  44772891   7700140   3957138
  16.73019  16.73086    0.0235  44849391   7715820   3965208
  16.72956  16.73021    0.0235  44955091   7735990   3978388
  16.72892  16.72956    0.0235  44979191   7741770   3981138
  16.72828  16.72892    0.0235  45013091   7749480   3986028
  16.72764  16.72828    0.0235  45079491   7762410   3993058
  16.72700  16.72764    0.0235  45100791   7768130   3997348
  16.72636  16.72701    0.0235  45127291   7773900   4002198
  16.72572  16.72636    0.0235  45121391   7773720   4003038
  16.72508  16.72570    0.0235  45163591   7783880   4009608
  16.72444  16.72504    0.0235  45209991   7792290   4014808
