   9809     AichiSR  BL5S1
 Fe3O4_FeK-edge  22.09.07 10:16 - 22.09.07 10:18
                                                                                 
 Ring :   1.2 GeV   300.1 mA -  300.4 mA
 Mono :   Si(111)       D=  3.13553 A    Initial angle= 16.23079 deg
 BL5S1    Transmission ( 2)   Repetition=  1     Points= 4600
 Param file : DUMMYNAME.prm   energy axis (2)    Block =     1

 Block      Init-Eng  final-Eng     Step/eV     Time/s       Num
     1        6813.26   8213.26        0.30       0.02      4602
 ORTEC( 0)     NDCH = 4
  Angle(c)  Angle(o)    time/s         1         2         3
      Mode         0         0         1         2         2
    Offset         0         0  4278.400  8873.000  8162.700
  16.80303  16.80368    0.0235  16891322  21921827   4491937
  16.80239  16.80307    0.0235  16889822  21922827   4495197
  16.80175  16.80244    0.0235  16885922  21932027   4497017
  16.80111  16.80179    0.0235  16876522  21920627   4494737
  16.80047  16.80114    0.0235  16880222  21930827   4498447
  16.79983  16.80050    0.0235  16886422  21946527   4501797
  16.79919  16.79985    0.0235  16875422  21934127   4498907
  16.79856  16.79921    0.0235  16872322  21937027   4500687
  16.79792  16.79858    0.0235  16867022  21934427   4500477
  16.79728  16.79794    0.0235  16873922  21948827   4505007
  16.79664  16.79731    0.0235  16865222  21947827   4504337
  16.79600  16.79666    0.0235  16845822  21920127   4501007
  16.79536  16.79601    0.0235  16845122  21928127   4504467
  16.79472  16.79535    0.0235  16831222  21917327   4502267
  16.79408  16.79471    0.0235  16806722  21893227   4497127
  16.79344  16.79409    0.0235  16804222  21893927   4500437
  16.79281  16.79348    0.0235  16800222  21893327   4498507
  16.79217  16.79286    0.0235  16798822  21897927   4501087
  16.79153  16.79223    0.0235  16777622  21874827   4497497
  16.79089  16.79157    0.0235  16786622  21894327   4502137
  16.79025  16.79091    0.0235  16808122  21928227   4509497
  16.78961  16.79026    0.0235  16823622  21952927   4516427
  16.78897  16.78962    0.0235  16846222  21988927   4524547
  16.78833  16.78898    0.0235  16866922  22016927   4531007
  16.78769  16.78834    0.0235  16885922  22047927   4537827
  16.78706  16.78770    0.0235  16893022  22061227   4541707
  16.78642  16.78706    0.0235  16902322  22079227   4546697
  16.78578  16.78640    0.0235  16919822  22110927   4553027
  16.78514  16.78574    0.0235  16917822  22111727   4555367
  16.78450  16.78508    0.0235  16921922  22126727   4558867
  16.78386  16.78445    0.0235  16933622  22145227   4563497
  16.78322  16.78383    0.0235  16935722  22153427   4565807
  16.78258  16.78322    0.0235  16941222  22167627   4569537
  16.78194  16.78260    0.0235  16934522  22168127   4570577
  16.78131  16.78195    0.0235  16927822  22162427   4570107
  16.78067  16.78130    0.0235  16922722  22160527   4570347
  16.78003  16.78064    0.0235  16922622  22162227   4570987
  16.77939  16.78000    0.0235  16926622  22172227   4573427
  16.77875  16.77936    0.0235  16901122  22152227   4569817
  16.77811  16.77872    0.0235  16902422  22155127   4571827
  16.77747  16.77809    0.0235  16900722  22158827   4572497
  16.77683  16.77745    0.0235  16889922  22150527   4573007
  16.77619  16.77681    0.0235  16888822  22153127   4574917
  16.77556  16.77616    0.0235  16879322  22152927   4572837
  16.77492  16.77550    0.0235  16873222  22149027   4575077
  16.77428  16.77486    0.0235  16874422  22151027   4575547
  16.77364  16.77423    0.0235  16860122  22146527   4576487
  16.77300  16.77362    0.0235  16865022  22153927   4578377
  16.77236  16.77301    0.0235  16849322  22138427   4575917
  16.77172  16.77238    0.0235  16840222  22137527   4575607
  16.77108  16.77173    0.0235  16832222  22124427   4574287
  16.77044  16.77107    0.0235  16817322  22114727   4572937
  16.76981  16.77043    0.0235  16811522  22109327   4573297
  16.76917  16.76979    0.0235  16793322  22094527   4570527
  16.76853  16.76915    0.0235  16785122  22092927   4571597
  16.76789  16.76852    0.0235  16777622  22085827   4569507
  16.76725  16.76788    0.0235  16766522  22077127   4568577
  16.76661  16.76725    0.0235  16777622  22095027   4571537
  16.76597  16.76660    0.0235  16781722  22110427   4579047
  16.76533  16.76593    0.0235  16810722  22154427   4587667
  16.76469  16.76528    0.0235  16827222  22175627   4592657
  16.76406  16.76464    0.0235  16841022  22200927   4598887
  16.76342  16.76402    0.0235  16862622  22236127   4605737
  16.76278  16.76341    0.0235  16866322  22246527   4608137
  16.76214  16.76278    0.0235  16871922  22262227   4613117
  16.76150  16.76214    0.0235  16888622  22284827   4618567
  16.76086  16.76148    0.0235  16887422  22291027   4620717
  16.76022  16.76083    0.0235  16896022  22309927   4625487
  16.75958  16.76018    0.0235  16903622  22322627   4628427
  16.75894  16.75953    0.0235  16912322  22333127   4631767
  16.75831  16.75890    0.0235  16906622  22339227   4632817
  16.75767  16.75825    0.0235  16899222  22331027   4634287
  16.75703  16.75762    0.0235  16901122  22345027   4636987
  16.75639  16.75697    0.0235  16896022  22346127   4638287
  16.75575  16.75631    0.0235  16891822  22346227   4639977
  16.75511  16.75565    0.0235  16889322  22345427   4639927
  16.75447  16.75500    0.0235  16875322  22326827   4637347
  16.75383  16.75437    0.0235  16877722  22342927   4641417
  16.75319  16.75375    0.0235  16866422  22326327   4639677
  16.75256  16.75314    0.0235  16860922  22328527   4637907
  16.75192  16.75252    0.0235  16848322  22320027   4640117
  16.75128  16.75186    0.0235  16832422  22305027   4637647
  16.75064  16.75121    0.0235  16831622  22311427   4639127
  16.75000  16.75056    0.0235  16815922  22290527   4634977
  16.74936  16.74992    0.0235  16782322  22257427   4628237
  16.74872  16.74928    0.0235  16745322  22213327   4619647
  16.74808  16.74864    0.0235  16707422  22170827   4611577
  16.74744  16.74801    0.0235  16670922  22126327   4603777
  16.74681  16.74738    0.0235  16601822  22040527   4586937
  16.74617  16.74673    0.0235  16558822  21988827   4575417
  16.74553  16.74607    0.0235  16515722  21938027   4566607
  16.74489  16.74541    0.0235  16444222  21848627   4549397
  16.74425  16.74477    0.0235  16392622  21786327   4537317
